"";"Domain";"Phylum";"Class";"Order";"Family";"Genus";"Species";"AD_DNF";"AD_EFF";"AD_INF";"AD_NFC";"AH_DNF";"AH_EFF";"AH_INF";"AH_NFC";"BE_EFF";"BE_INF";"BE_NFC";"EM_DNF";"EM_EFF";"EM_INF";"EM_NFC";"FD_DNF";"FD_EFF";"FD_INF";"FD_NFC";"FR_DNF";"FR_EFF";"FR_INF";"FR_NFC";"MN_DNF";"MN_EFF";"MN_INF";"MN_NFC";"TE_DNF";"TE_EFF";"TE_INF";"TE_NFC";"TG_DNF";"TG_EFF";"TG_INF";"TG_NFC";"TU_DNF";"TU_EFF";"TU_INF";"TU_NFC";"WT_DNF";"WT_EFF";"WT_INF";"WT_NFC";"ZR_DNF";"ZR_EFF";"ZR_INF";"ZR_NFC"
"17";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanosphaera";"uncultured|Methanobacteriales|archaeon";0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanocorpusculaceae";"Methanocorpusculum";"Methanocorpusculum|bavaricum|DSM|4179";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
"19";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanocorpusculaceae";"Methanocorpusculum";"Methanocorpusculum|labreanum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanocorpusculaceae";"Methanocorpusculum";"Methanocorpusculum|sinense";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanocorpusculaceae";"Methanocorpusculum";"uncultured|archaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;5;0;0;0;1;2;0;0;2;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
"22";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanocorpusculaceae";"Methanocorpusculum";"uncultured|Methanocorpusculum|sp";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanomicrobiaceae";"Methanoculleus";"archaeon|enrichment|culture|clone|C4-10C-A";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanomicrobiaceae";"Methanoculleus";"bacterium|enrichment|culture|clone|F8|1.705-A13";0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"25";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanomicrobiaceae";"Methanoculleus";"uncultured|archaeon";4;4;9;2;0;1;15;0;1;3;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;7;0;1;1;5;1;0;0;0;0;0;0;3;0;0;0;1;1;1;1;3;0
"26";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanomicrobiaceae";"Methanoculleus";"uncultured|bacterium";0;3;0;0;0;0;10;0;1;3;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"27";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanomicrobiaceae";"Methanoculleus";"uncultured|Methanoculleus|sp";0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"28";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanomicrobiaceae";"Methanoculleus";"uncultured|methanogenic|archaeon";0;0;0;0;0;0;8;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanomicrobiaceae";"Methanoculleus";"uncultured|Methanomicrobiales|archaeon";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"30";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanomicrobiaceae";"uncultured";"uncultured|archaeon";0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"31";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanolinea";"Methanolinea|tarda|NOBI-1";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"32";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanolinea";"uncultured|archaeon";0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;2;11;0;0;1;0;0;1;0;12;3;3;0;14;0;3;2
"33";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanolinea";"uncultured|bacterium";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"34";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanolinea";"uncultured|euryarchaeote";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"35";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanolinea";"uncultured|Methanomicrobiales|archaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0
"36";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanoregula";"Methanoregula|formicica|SMSP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"37";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanoregula";"uncultured|archaeon";0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;1;0;1;0
"38";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanoregula";"uncultured|bacterium";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"39";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanoregula";"uncultured|euryarchaeote";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"40";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanoregula";"uncultured|Methanomicrobia|archaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"41";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanoregula";"uncultured|Methanomicrobiales|archaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"42";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanoregula";"uncultured|Methanoregula|sp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"43";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanosphaerula";"Methanosphaerula|palustris";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"44";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanoregulaceae";"Methanosphaerula";"uncultured|euryarchaeote";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"45";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanospirillaceae";"Methanospirillum";"Methanospirillum|hungatei";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"46";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanospirillaceae";"Methanospirillum";"Methanospirillum|hungatei|JF-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"47";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanospirillaceae";"Methanospirillum";"Methanospirillum|sp.|X-18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"48";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanospirillaceae";"Methanospirillum";"uncultured|archaeon";1;3;6;0;2;0;13;2;0;4;1;0;0;0;0;1;0;1;2;2;8;0;3;0;0;4;0;0;0;0;1;0;2;1;2;0;0;2;0;0;0;1;2;1;0;2;0
"49";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanospirillaceae";"Methanospirillum";"uncultured|bacterium";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"50";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanospirillaceae";"Methanospirillum";"uncultured|euryarchaeote";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"51";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanospirillaceae";"Methanospirillum";"uncultured|Methanomicrobiales|archaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"52";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanospirillaceae";"Methanospirillum";"uncultured|Methanospirillum|sp";0;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"53";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"MHLsu47-B8A";"uncultured|archaeon";"uncultured|archaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"54";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"WCHA2-08";"uncultured|archaeon";"uncultured|archaeon";0;0;0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"55";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosaetaceae";"Methanosaeta";"Methanosaeta|concilii";0;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2;0;0;3;1;0;0;0
"56";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosaetaceae";"Methanosaeta";"Methanosaeta|concilii|GP6";1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"57";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosaetaceae";"Methanosaeta";"uncultured|archaeon";19;23;59;21;0;7;36;6;1;2;4;1;0;3;0;5;1;0;3;1;15;0;3;2;2;0;0;4;3;39;15;4;0;4;10;0;1;5;0;7;6;2;9;3;0;0;1
"58";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosaetaceae";"Methanosaeta";"uncultured|archaeon|WCHD3-03";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
